Neighbourhood Name,Neighbourhood Number,Number,Median age of the population,    Median total income in 2019 among recipients ($),Population,Distress Calls,DC over Population,,ARHr2022,CrimeRate,Common Language,NonIm,Im
West Humber-Clairville,001,1,38,30400,33300,3515,0.105555556,1.044893595,953.2279132,0.967021264,Punjabi (Panjabi),0.354504505,0.645345345
Mount Olive-Silverstone-Jamestown,002,2,36,25800,31345,2387,0.076152496,1.031953317,909.5315485,1.044069616,Punjabi (Panjabi),0.306907003,0.693252512
Thistletown-Beaumond Heights,003,3,39.2,29400,9850,601,0.061015228,1.012496328,645.5900503,0.871066881,Punjabi (Panjabi),0.411675127,0.588832487
Rexdale-Kipling,004,4,42,30400,10375,709,0.068337349,1.001494414,680.8431263,1.175360573,Spanish,0.489638554,0.510361446
Elms-Old Rexdale,005,5,38.4,30800,9355,628,0.067129877,1.003462981,812.0178644,1.261313856,Spanish,0.48262961,0.51737039
Kingsview Village-The Westway,006,6,38.8,31000,22005,1560,0.070892979,1.005299183,610.5864265,1.246655417,Somali,0.461154021,0.538845979
Willowridge-Martingrove-Richview,007,7,44.4,38000,22445,1144,0.050969035,1.052838651,470.370837,1.236457628,Spanish,0.512140789,0.488081978
Humber Heights-Westmount,008,8,47.2,39200,10005,660,0.065967016,1.096344771,372.4394786,1.111281412,Portuguese,0.509245377,0.491254373
Edenbridge-Humber Valley,009,9,46.8,46800,15190,658,0.043317972,1.09444439,218.3921615,1.053023015,Spanish,0.595128374,0.404871626
Princess-Rosethorn,010,10,46,58800,11170,312,0.027931961,1.075122262,235.6191095,0.728816594,Ukrainian,0.681736795,0.318710833
Eringate-Centennial-West Deane,011,11,46.4,43600,18450,880,0.047696477,1.012127176,354.8287566,1.181990443,Ukrainian,0.55799458,0.44200542
Markland Wood,012,12,50.8,45600,10365,536,0.051712494,1.002613508,418.9554045,1.390938092,Serbian,0.614085866,0.386396527
Etobicoke West Mall,013,13,39.6,35600,11865,681,0.057395702,1.087284372,454.4005102,0.940917144,Spanish,0.451748841,0.548251159
Kingsway South,015,15,48,76000,8855,457,0.05160926,1.07409775,287.4417683,0.786242218,Polish,0.771315641,0.229813665
Stonegate-Queensway,016,16,43.6,46800,25650,1342,0.052319688,1.035312639,418.8047087,0.960983,Ukrainian,0.627752875,0.372247125
New Toronto,018,18,40.4,34400,11345,1615,0.14235346,1.053997516,1479.094365,1.543499492,Polish,0.593653592,0.406346408
Long Branch,019,19,39.6,43600,11360,1124,0.098943662,1.119400121,843.9185662,1.073249111,Polish,0.617957746,0.382042254
Alderwood,020,20,43.2,44800,12595,592,0.047002779,1.073422657,398.3764281,1.194255156,Polish,0.643509329,0.356093688
Humber Summit,021,21,40.8,28200,12185,658,0.054000821,1.027475905,1185.979755,1.495695773,Italian,0.397620025,0.602790316
Humbermede,022,22,37.6,29000,16955,880,0.051902094,1.017915427,931.4140559,1.004039722,Spanish,0.359186081,0.640519021
