Neighbourhood Name,NeighbourhoodNumber,Number,income2019,Population,Distress Calls,DCoverPopulation,PopPe,ARHr2022,CrimeRate,Common Language,NonIm,Im,1atotalPop,1a0to4,1a5to9,1a10to14,1a15to19,1a20to24,1a25to29,1a30to34,1a35to39,1a40to44,1a45to49,1a50to54,1a55to59,1a60to64,1a65to69,1a70to74,1a75to79,1a80to84,1a85to89,1a90to94,1a95to99,1a100to,2averageAge,2averageAgeM,4avgIncome,4tax,4market,4employment,4gov,4ei,4covid,4avgIncomeM,4taxM,4marketM,4employmentM,4govM,4eiM,4covidM,8owner,8renter,11a,11aM,12a,12aM,ASSAULT_RATE_2014,ASSAULT_RATE_2015,ASSAULT_RATE_2016,ASSAULT_RATE_2017,ASSAULT_RATE_2018,ASSAULT_RATE_2019,ASSAULT_RATE_2020,ASSAULT_RATE_2021,ASSAULT_RATE_2022,ASSAULT_RATE_2023,AUTOTHEFT_RATE_2014,AUTOTHEFT_RATE_2015,AUTOTHEFT_RATE_2016,AUTOTHEFT_RATE_2017,AUTOTHEFT_RATE_2018,AUTOTHEFT_RATE_2019,AUTOTHEFT_RATE_2020,AUTOTHEFT_RATE_2021,AUTOTHEFT_RATE_2022,AUTOTHEFT_RATE_2023,BIKETHEFT_RATE_2014,BIKETHEFT_RATE_2015,BIKETHEFT_RATE_2016,BIKETHEFT_RATE_2017,BIKETHEFT_RATE_2018,BIKETHEFT_RATE_2019,BIKETHEFT_RATE_2020,BIKETHEFT_RATE_2021,BIKETHEFT_RATE_2022,BIKETHEFT_RATE_2023,BREAKENTER_RATE_2014,BREAKENTER_RATE_2015,BREAKENTER_RATE_2016,BREAKENTER_RATE_2017,BREAKENTER_RATE_2018,BREAKENTER_RATE_2019,BREAKENTER_RATE_2020,BREAKENTER_RATE_2021,BREAKENTER_RATE_2022,BREAKENTER_RATE_2023,HOMICIDE_RATE_2014,HOMICIDE_RATE_2015,HOMICIDE_RATE_2016,HOMICIDE_RATE_2017,HOMICIDE_RATE_2018,HOMICIDE_RATE_2019,HOMICIDE_RATE_2020,HOMICIDE_RATE_2021,HOMICIDE_RATE_2022,HOMICIDE_RATE_2023,ROBBERY_RATE_2014,ROBBERY_RATE_2015,ROBBERY_RATE_2016,ROBBERY_RATE_2017,ROBBERY_RATE_2018,ROBBERY_RATE_2019,ROBBERY_RATE_2020,ROBBERY_RATE_2021,ROBBERY_RATE_2022,ROBBERY_RATE_2023,SHOOTING_RATE_2014,SHOOTING_RATE_2015,SHOOTING_RATE_2016,SHOOTING_RATE_2017,SHOOTING_RATE_2018,SHOOTING_RATE_2019,SHOOTING_RATE_2020,SHOOTING_RATE_2021,SHOOTING_RATE_2022,SHOOTING_RATE_2023,THEFTFROMMV_RATE_2014,THEFTFROMMV_RATE_2015,THEFTFROMMV_RATE_2016,THEFTFROMMV_RATE_2017,THEFTFROMMV_RATE_2018,THEFTFROMMV_RATE_2019,THEFTFROMMV_RATE_2020,THEFTFROMMV_RATE_2021,THEFTFROMMV_RATE_2022,THEFTFROMMV_RATE_2023,THEFTOVER_RATE_2014,THEFTOVER_RATE_2015,THEFTOVER_RATE_2016,THEFTOVER_RATE_2017,THEFTOVER_RATE_2018,THEFTOVER_RATE_2019,THEFTOVER_RATE_2020,THEFTOVER_RATE_2021,THEFTOVER_RATE_2022,THEFTOVER_RATE_2023,OVERDOSE_2014,OVERDOSE_2015,OVERDOSE_2016,OVERDOSE_2017,OVERDOSE_2018,OVERDOSE_2019,OVERDOSE_2020,OVERDOSE_2021,OVERDOSE_2022,OVERDOSE_2023,SUICIDE_2014,SUICIDE_2015,SUICIDE_2016,SUICIDE_2017,SUICIDE_2018,SUICIDE_2019,SUICIDE_2020,SUICIDE_2021,SUICIDE_2022,SUICIDE_2023,CRISIS_2014,CRISIS_2015,CRISIS_2016,CRISIS_2017,CRISIS_2018,CRISIS_2019,CRISIS_2020,CRISIS_2021,CRISIS_2022,CRISIS_2023,POPULATION_2014,POPULATION_2015,POPULATION_2016,POPULATION_2017,POPULATION_2018,POPULATION_2019,POPULATION_2020,POPULATION_2021,POPULATION_2022,POPULATION_2023
West Humber-Clairville,001,1,30400,33300,3515,0.105555556,1.044893595,953.2279132,0.967021264,Punjabi (Panjabi),0.354504505,0.645345345,33295,1460,1345,1485,1860,3175,3585,2500,2170,1860,1980,2035,2280,2195,1615,1475,955,750,380,150,30,10,40.5,38,40560,35800,35200,36800,11130,6065,9720,33600,31600,26400,30000,9500,5480,9500,0.653738318,0.346261682,831000,800000,1376,1320,836.3098,894.9985,865.2403,876.4802,907.4307,723.5972,699.9664,675.2402,747.5753,884.9071045,894.3868,778.0052,950.5871,954.8409,1443.899,1373.99,1139.545,1375.697,1375.697,2278.223633,11.61541,52.64697,52.9739,29.02252,25.682,19.70887,13.99933,33.62192,33.62192,27.48158646,429.7703,348.055,385.5322,362.7815,485.1044,380.0997,310.7851,274.579,377.9563,582.6096802,0,9,6,0,0,5.631106,5.599731,2.801827,2.77909,5.496317387,238.116,267.8125,356.977,259.6736,202.7198,212.7898,148.4968,202.8736,222.2872,211.6082153,11.61541,14.62416,29.42994,20.31577,39.94978,39.41774,13.99933,14.00913,13.89545,24.73342896,1077.33,780.9301,665.1167,647.2022,1124.301,999.5214,1047.15,1059.091,1031.042,865.6699829,119.058,172.5651,120.6628,168.3306,145.5313,183.011,156.7925,154.1005,169.5245,219.8526917,60.98091952,61.4214681,79.46084355,49.33828735,102.7279997,76.01993594,83.99597168,84.05480656,69.4772543,52.21501548,232.3082648,266.1596951,326.6723568,293.1274719,350.9873323,368.837467,324.7844238,456.6977823,389.0726241,409.4756477,397.8279035,520.620063,565.0548874,510.7963867,690.5604425,571.5572961,699.9664307,784.5115279,697.5516332,560.6243768,34437,34190,33979,34456,35044,35517,35716,35691,35983,36388
Mount Olive-Silverstone-Jamestown,002,2,25800,31345,2387,0.076152496,1.031953317,909.5315485,1.044069616,Punjabi (Panjabi),0.306907003,0.693252512,31340,1650,1860,2175,2280,2675,2550,2170,1955,1950,2075,2140,1975,1715,1390,1115,720,495,335,95,20,0,37.8,36,35000,31760,29760,31400,12900,6125,9610,29600,28400,22200,25200,11300,5640,8500,0.460472279,0.539527721,681000,600000,1300,1320,706.1523,695.9599,811.88,812.248,738.6888,786.1186,590.1639,607.2063,747.0134,839.3150024,185.365,171.041,126.9485,146.0878,222.1837,245.8407,248.0399,220.5419,220.5419,429.5484009,20.59611,14.74491,38.37978,26.2958,8.656509,14.29307,28.51034,17.18508,17.18508,31.08574104,73.55753,109.1124,100.3779,99.33968,77.90858,100.0515,51.3186,45.82689,74.1311,67.82343292,5.884602936,6,9,0,11.54201,8.575839,8.553101,0,2.851196,11.30390549,223.6149,312.9428,201.6011,178.9012,168.6582,88.38204,143.209,159.667,312.5922,152.6027222,17.65381,32.43881,20.66604,26.2958,49.05355,42.8792,51.3186,28.64181,17.10718,45.21562195,323.6532,182.8369,289.3245,201.6011,227.9548,314.4474,273.6992,237.727,313.6316,341.9431458,14.71151,14.74491,11.80916,2.921755,8.656509,22.8689,22.80827,8.592542,51.32153,31.08574104,64.73063152,20.64287839,17.71374556,23.37404276,40.39704609,25.72751753,51.31860351,94.51796161,42.76794084,50.8675759,147.1150716,197.581836,215.5172377,181.1488314,190.4432173,222.9718186,219.5295817,286.4180655,268.0124293,276.945691,373.6722819,439.3984114,448.7482209,584.3510689,476.1080432,463.0953156,461.8674316,415.3061949,410.5722321,409.7665837,33987,33910,33872,34226,34656,34982,35075,34914,35073,35386
Thistletown-Beaumond Heights,003,3,29400,9850,601,0.061015228,1.012496328,645.5900503,0.871066881,Punjabi (Panjabi),0.411675127,0.588832487,9845,505,540,455,570,745,880,670,620,540,570,690,770,550,500,415,325,255,165,70,10,0,41,39.2,41520,36360,36960,39040,12130,6660,9700,32800,30600,25800,29400,11400,5760,9500,0.62403698,0.37596302,964000,900000,1244,1250,605.5945,557.5315,460.2551,533.9944,500.8978,704.9535,527.5554,578.8026,493.6865,626.7806396,96.12611,134.5766,143.8297,219.3192,415.8397,488.7677,405.0871,417.4969,417.4969,455.8404541,19.22522,48.06306,28.76594,0,0,0,0,9.488566,9.488566,47.48337936,211.4775,221.0901,220.5389,162.1055,151.2144,131.5913,103.6269,75.90853,161.3975,218.4235535,0,10,0,0,18.90181,0,0,0,0,0,192.2522,153.4184,228.8548,103.9599,93.9938,84.78568,56.9314,151.9035,230.7027,123.4567871,0,19.22522,28.76594,19.07123,9.450903,18.79876,9.420631,9.488566,47.46986,0,259.5405,528.6937,345.1913,190.7123,330.7816,366.5758,518.1347,379.5427,256.3372,522.3171997,9.612612,28.83784,9.588647,38.14246,18.90181,37.59752,47.10316,18.97713,18.98794,132.9534607,28.8378354,19.22522393,67.12053044,19.07123021,37.80360959,18.79875977,47.10315704,66.4199649,28.48191481,37.98670543,182.6396242,173.0270154,143.8297081,181.176687,170.1162432,253.7832568,178.9919968,294.1455589,332.2890061,275.4036144,182.6396242,221.0900752,373.957241,257.4616078,217.3707552,291.3807764,584.0791474,426.9854887,512.6744666,360.8737016,10403,10403,10429,10487,10581,10639,10615,10539,10533,10530
Rexdale-Kipling,004,4,30400,10375,709,0.068337349,1.001494414,680.8431263,1.175360573,Spanish,0.489638554,0.510361446,10365,505,615,455,515,715,785,695,650,655,655,745,765,765,570,485,340,230,150,70,0,0,41.9,42,42040,36880,37160,39240,11880,5780,9860,33600,31800,28400,32400,10500,5480,9000,0.504435995,0.495564005,867000,890000,1219,1200,467.0278,552.2793,655.8606,802.5383,702.7277,534.316,452.6141,447.0522,540.9438,708.822998,121.4272,84.24599,206.1276,214.6323,527.0458,479.0419,369.4809,372.5435,372.5435,690.1697388,0,9.360666,18.73887,18.66368,9.246417,9.212344,9.237022,18.62718,18.62718,9.326618195,158.7895,159.1313,149.911,121.3139,166.4355,128.9728,166.2664,270.0941,195.859,149.2258911,0,0,0,9,0,18.42469,0,0,18.65324,0,130.7678,140.5415,279.9552,203.4212,202.6716,129.3183,93.13589,121.246,102.9673,223.8388367,0,9.360666,28.10831,27.99552,27.73925,46.06172,9.237022,9.313588,9.326618,9.326618195,541.7523,187.2133,121.8027,177.305,323.6246,423.7679,387.9549,512.2474,540.9438,438.3510437,18.68111,9.360666,0,9.331841,27.73925,27.63703,9.237022,18.62718,83.93956,37.30647278,65.38389648,56.16399629,28.10831124,55.99104202,92.46417397,55.27406679,36.94808773,65.19511922,9.326618064,65.28632876,168.1300195,224.6559852,234.235927,205.3004874,277.3925219,211.8839227,184.7404387,186.2717692,167.8791251,289.1251702,326.9194824,336.9839778,393.5163574,559.9104202,268.1461045,414.5555009,471.0881186,456.3658346,503.6373754,457.0043013,10706,10683,10673,10716,10815,10855,10826,10737,10722,10722
Elms-Old Rexdale,005,5,30800,9355,628,0.067129877,1.003462981,812.0178644,1.261313856,Spanish,0.48262961,0.51737039,9360,440,480,685,635,685,730,610,585,555,535,665,720,640,470,320,255,160,125,35,30,0,39.6,38.4,41240,36440,35480,37280,12900,6640,10440,34400,32400,25800,30200,11900,6000,10000,0.55086072,0.44913928,720000,755000,1328,1330,458.3418,543.1441,709.7305,632.976,567.0886,715.3652,494.0014,701.1483,649.6143,617.1590576,71.29762,194.712,164.5752,122.5115,334.1772,282.1159,423.4298,518.24,518.24,404.694458,10.18537,40.99201,20.5719,30.62787,20.25316,10.07557,20.16332,0,0,60.70417023,81.48299,174.216,102.8595,122.5115,70.88608,100.7557,131.0616,101.6157,91.35201,161.8777771,0,0,0,20,0,0,0,0,10.15022,0,142.5952,216.0049,224.6044,131.6456,161.2091,70.57163,71.13098,152.2534,81.98402,141.6430664,20.37075,40.99201,41.1438,61.25574,30.37975,90.6801,0,71.13098,60.90134,,315.7466,245.952,246.8628,204.1858,192.4051,251.8892,352.8582,182.9082,314.6569,435.0465393,10.18537,10.248,0,20.41858,10.12658,40.30227,20.16332,30.48471,0,40.46944427,61.11224365,81.9840157,30.85784912,40.83716214,40.50633021,40.30226673,20.1633226,71.13098233,71.05156612,60.7041696,193.5221049,174.2160334,216.0049439,183.7672296,151.8987383,201.5113336,211.7148873,203.2313781,213.1546984,252.93404,346.302714,409.9200785,267.4346924,490.0459457,546.8354579,372.7959672,403.2664521,558.8862897,395.8587255,293.4034864,9818,9758,9722,9795,9875,9925,9919,9841,9852,9884
Kingsview Village-The Westway,006,6,31000,22005,1560,0.070892979,1.005299183,610.5864265,1.246655417,Somali,0.461154021,0.538845979,22015,1245,1325,1350,1245,1605,1600,1495,1480,1380,1315,1330,1625,1310,1040,935,635,540,330,180,50,0,40.1,38.8,44880,38640,39640,39760,12940,6580,10030,34400,32400,26200,28400,12000,5800,10000,0.529222864,0.470777136,828000,850000,1454,1470,406.2707,535.2561,565.6459,469.9372,423.0266,421.2446,435.5211,434.9736,566.6594,663.4738159,251.7112,221.1802,185.6025,158.1097,239.8604,173.7091,261.3127,360.2812,360.2812,492.1130066,0,26.54163,8.838217,17.56775,21.80549,21.71364,21.77605,13.18102,13.18102,4.393866062,167.8075,145.9789,150.2497,171.2855,170.0829,117.2537,60.97295,74.69244,61.49791,175.7546539,8.831971738,4,9,9,8.722198,0,0,4.393673,0,0,79.48775,114.8968,57.09517,78.49978,60.79819,26.13127,39.54306,43.92708,141.5553,101.0589218,13.24796,30.96523,70.70573,43.91936,13.0833,13.02818,8.710422,30.75571,4.392708,8.787732124,485.7585,238.8746,238.6319,206.421,231.1382,178.0518,287.4439,413.0053,483.1979,443.7804871,22.07993,17.69442,22.09554,26.35162,13.0833,8.685456,30.48648,35.14938,26.35625,35.1509285,30.91190039,48.65964577,22.09554195,26.3516184,26.16659451,34.74182506,52.26253051,105.4481534,83.46145307,241.6626482,132.4795731,212.3329997,159.0879021,166.8935832,244.2215488,230.164591,217.7605438,285.5887488,267.9551914,316.3583758,282.6230893,291.9578746,384.46243,377.7065304,431.7488095,395.1882601,548.7565704,478.9103634,636.9426681,505.294628,22645,22606,22629,22769,22930,23027,22961,22760,22765,22759
Willowridge-Martingrove-Richview,007,7,38000,22445,1144,0.050969035,1.052838651,470.370837,1.236457628,Spanish,0.512140789,0.488081978,22445,1065,1190,1240,1175,1330,1370,1380,1295,1390,1310,1510,1600,1510,1310,1205,755,730,650,355,75,0,44,44.4,53750,45160,48920,50200,11900,6305,9570,40800,37200,35200,38400,11200,5560,9000,0.543023256,0.456976744,1093000,1000000,1538,1500,366.9968,312.9546,429.5608,428.8313,333.3333,405.7996,400.3709,240.9842,407.3748,510.4369812,198.9742,154.2734,214.7804,186.2601,226.4957,181.7644,290.7957,240.9842,240.9842,435.7388916,8.843297,48.48592,8.766547,12.99489,12.82051,8.454157,4.21443,25.36676,25.36676,12.44968224,190.1309,158.6812,153.4146,168.9335,282.0513,177.5373,88.50304,88.78366,113.393,128.6467133,0,4,0,0,8.547009,4.227078,0,8.455587,0,0,88.43297,232.3135,86.63259,72.64957,160.629,67.43089,25.36676,62.99609,66.11716,70.54820251,8.843297,8.815621,13.14982,12.99489,21.36752,21.13539,29.50101,12.68338,16.79896,16.59957695,521.7545,260.0608,223.547,177.5968,294.8718,156.4019,181.2205,224.0731,495.5693,253.1435394,17.68659,13.22343,17.53309,17.32652,17.09402,12.68124,16.85772,12.68338,20.9987,12.44968224,35.37318807,26.44686417,70.13237404,17.32651836,72.64957487,25.36247253,63.21645475,29.59455551,58.7963562,24.89936494,168.0226433,110.1952674,175.3309351,147.275406,222.222229,190.218544,109.5751882,131.061603,285.5823015,153.5460838,212.2391284,215.982724,219.1636689,307.5457008,128.2051321,359.3016942,375.0842982,274.8065869,356.9778769,377.6403682,22616,22687,22814,23086,23400,23657,23728,23653,23811,24097
Humber Heights-Westmount,008,8,39200,10005,660,0.065967016,1.096344771,372.4394786,1.111281412,Portuguese,0.509245377,0.491254373,9980,395,430,540,525,580,530,545,625,565,590,710,820,745,660,525,395,375,260,135,30,0,45.5,47.2,60900,50160,57450,59550,11670,5600,9860,40400,36400,34400,38800,10800,5000,10000,0.605839416,0.394160584,1052000,1000000,1464,1460,233.3269,330.2253,300.1549,361.3541,362.622,328.3773,207.5438,278.0518,283.7634,464.993866,262.4927,252.5253,164.6011,247.2423,139.47,173.3102,207.5438,179.3883,179.3883,219.336731,29.16586,29.13753,9.682417,9.509319,27.894,9.121591,9.023642,26.90824,26.90824,8.773468971,184.7171,194.2502,222.6956,294.7889,269.642,209.7966,81.21278,143.5106,88.67606,114.0550995,9.721952168,0,10,10,18.596,0,0,17.93883,8.867606,0,106.9415,106.5066,47.5466,46.49001,45.60796,18.04728,8.969415,79.80846,58.27506,52.64081573,9.721952,38.85004,67.77692,28.52796,27.894,63.85114,0,44.84707,8.867606,35.09387589,661.0928,349.6504,271.1077,218.7143,325.43,118.5807,324.8511,295.9907,602.9973,175.4693756,9.721952,19.42502,38.72967,57.05592,27.894,45.60796,9.023642,44.84707,8.867606,17.54693794,68.05366706,58.27506032,19.36483272,38.03727642,74.38400816,45.60795254,36.09456734,17.93882899,26.60281849,26.32040751,204.1610012,165.1126709,193.6483272,247.2422967,232.4500255,291.8908963,162.425553,269.0824349,195.0873356,219.3367292,505.5415268,349.6503619,377.6142381,285.2795732,325.4300357,355.7420298,333.8747479,412.5930669,390.1746712,350.9387668,10286,10296,10328,10516,10755,10963,11082,11149,11277,11398
Edenbridge-Humber Valley,009,9,46800,15190,658,0.043317972,1.09444439,218.3921615,1.053023015,Spanish,0.595128374,0.404871626,15200,520,740,815,885,780,830,800,920,975,950,1130,1240,1140,1025,915,565,455,320,155,40,0,45.1,46.8,98200,68700,97400,88100,10320,6000,9820,48400,42400,44400,43600,8600,5480,9300,0.564836913,0.435163087,1900000,1700000,1612,1510,161.4987,154.5197,185.6475,176.0342,141.6867,211.9542,197.9129,208.9927,182.9772,306.8728027,167.9587,148.0814,179.2459,113.1648,110.8852,139.2842,221.9024,173.1653,173.1653,665.8560791,19.37984,70.82153,32.00819,69.1563,18.48087,6.055835,23.98944,35.82731,35.82731,11.58010578,277.7778,257.5328,294.4754,264.0513,277.2131,320.9593,137.9393,95.5395,177.0747,364.7733154,0,0,0,0,0,0,0,0,0,0,45.21964,25.60656,31.43468,36.96175,18.16751,53.97625,,35.41494,45.06824,40.5303688,0,0,12.80328,0,0,18.16751,5.997361,11.94244,11.80498,5.790052891,562.0155,534.3806,300.877,232.6166,141.6867,199.8425,161.9288,143.3092,513.5167,162.1214752,19.37984,25.75328,12.80328,25.14774,30.80145,60.55835,5.997361,11.94244,53.12242,28.95026398,25.83979248,38.62992478,76.81966428,50.29548426,18.48087278,18.16750488,35.98416693,71.65462646,5.902490923,46.32042305,116.2790662,122.3280951,140.8360512,163.4603238,123.2058185,145.340039,143.9366677,173.1653473,182.9772186,167.9115336,167.9586511,90.13649114,256.0655476,301.7729055,246.411637,357.2942626,179.9208346,232.877536,247.9046187,196.861798,15480,15532,15621,15906,16233,16513,16674,16747,16942,17271
Princess-Rosethorn,010,10,58800,11170,312,0.027931961,1.075122262,235.6191095,0.728816594,Ukrainian,0.681736795,0.318710833,11170,545,590,610,755,690,520,425,580,650,725,825,965,975,730,595,375,290,200,100,25,0,43.7,46,101900,70900,99200,91000,9450,6960,9480,58800,50400,53600,50800,7950,5680,8500,0.848717949,0.151282051,1840000,1700000,1750,1590,209.6436,131.9261,308.9962,234.2327,178.1322,216.6486,190.0984,205.5921,219.3695,199.1714478,183.4382,167.1064,211.8831,164.8304,178.1322,233.3139,165.3029,189.1447,189.1447,916.1886597,26.20545,35.1803,26.48539,26.02585,50.8949,41.6632,16.53029,41.11842,41.11842,15.93371582,296.9951,255.0572,291.3393,251.5832,186.6146,274.9771,99.18175,98.68421,105.6224,501.9120483,0,0,9,0,8.482484,0,0,0,0,0,192.1733,326.6531,60.72699,25.44745,124.9896,74.38631,16.44737,16.24959,35.1803,95.60229492,0,0,8.828463,26.02585,8.482484,0,8.265146,8.223684,8.124797,15.93371582,794.8987,650.8355,467.9085,260.2585,313.8519,274.9771,305.8104,279.6053,739.3565,151.3703003,34.9406,35.1803,26.48539,26.02585,50.8949,33.33055,33.06059,16.44737,16.24959,39.83428955,34.94060008,17.59014892,8.828463309,17.35056785,42.41241819,16.66527733,16.53029202,8.223684084,8.124797115,31.86743165,69.88120017,131.9261169,88.28463309,69.40227141,135.7197382,116.6569413,132.2423361,115.1315772,146.2463481,135.4365845,113.5569503,123.1310424,105.9415597,208.2068142,67.8598691,141.6548573,157.0377742,172.6973658,121.8719567,143.4034424,11448,11370,11327,11527,11789,12001,12099,12160,12308,12552
