,Unnamed: 0,newId,id,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,result,main_id,main_seed,main_entry,main_name,main_hand,main_ht,main_ioc,main_age,opp_id,opp_seed,opp_entry,opp_name,opp_hand,opp_ht,opp_ioc,opp_age,score,best_of,round,roundNum,minutes,main_ace,main_df,main_svpt,main_1stIn,main_1stWon,main_2ndWon,main_ptsWonSrv,main_ptsWonRei,main_SvGms,main_bpSaved,main_bpFaced,main_1stInPct,main_dfPct,main_1stWonPct,main_2ndWonPct,main_1stOppPct,main_2ndOppPct,opp_ace,opp_df,opp_svpt,opp_1stIn,opp_1stWon,opp_2ndWon,opp_ptsWonSrv,opp_ptsWonRei,opp_SvGms,opp_bpSaved,opp_bpFaced,opp_1stWonPct,opp_2ndWonPct,opp_1stOppPct,opp_2ndOppPct,main_rank,main_rank_points,opp_rank,opp_rank_points,rank_diff,sample,pct1stSrv,pct1stSrvWon,pct2ndSrvWon,pctOpp1stSrvWon,pctOpp2ndSrvWon,AcesPerSrv,DFPerSrv,BPSaved,BPCon,AvgOppRank,AvgOppRankPts,accuracy,mAvgRank,check
584,540,2023-0544300FL,2023-0544300F,2023-0544,Montevideo CH,Clay,,,2023-11-13,300.0,L,106329.0,,,Thiago Monteiro,L,183.0,BRA,29.4,207680.0,4.0,,Facundo Diaz Acosta,L,183.0,ARG,22.9,6-3 4-3 RET,3.0,F,1,97.0,3.0,1.0,49.0,29.0,19.0,11.0,30.0,14.0,8.0,1.0,3.0,0.591836735,,0.655172414,0.55,0.15625,0.409090909,3.0,0.0,54.0,32.0,27.0,13.0,40.0,19.0,8.0,2.0,2.0,0.84375,0.590909091,0.344827586,0.45,131.0,485.0,111.0,575.0,20.0,80.0,0.632692778,0.659118652,0.448413225,0.368459285,0.544414773,,,,,267.6367153,299.9777194,,200.593792,Thiago MonteiroFacundo Diaz AcostaF4954
585,541,2023-0544300FW,2023-0544300F,2023-0544,Montevideo CH,Clay,,,2023-11-13,300.0,W,207680.0,4.0,,Facundo Diaz Acosta,L,183.0,ARG,22.9,106329.0,,,Thiago Monteiro,L,183.0,BRA,29.4,6-3 4-3 RET,3.0,F,1,97.0,3.0,0.0,54.0,32.0,27.0,13.0,40.0,19.0,8.0,2.0,2.0,0.592592593,,0.84375,0.590909091,0.344827586,0.45,3.0,1.0,49.0,29.0,19.0,11.0,30.0,14.0,8.0,1.0,3.0,0.655172414,0.55,0.15625,0.409090909,111.0,575.0,131.0,485.0,-20.0,102.0,0.630584989,0.722393926,0.511592877,0.317462032,0.559611231,,,,,200.593792,434.788861,,267.6367153,Facundo Diaz AcostaThiago MonteiroF5449
586,542,2023-0605300FL,2023-0605300F,2023-0605,Tour Finals,Hard,,,2023-11-13,300.0,L,206173.0,4.0,,Jannik Sinner,R,188.0,ITA,22.2,104925.0,1.0,,Novak Djokovic,R,188.0,SRB,36.4,6-3 6-3,3.0,F,1,103.0,8.0,1.0,74.0,49.0,28.0,12.0,40.0,8.0,9.0,5.0,8.0,0.662162162,,0.571428571,0.48,0.09375,0.357142857,13.0,0.0,46.0,32.0,29.0,9.0,38.0,34.0,9.0,2.0,2.0,0.90625,0.642857143,0.428571429,0.52,4.0,5490.0,1.0,9945.0,3.0,101.0,0.624399533,0.779182144,0.57396535,0.294027393,0.569709699,,,,,32.06133874,3076.947665,,31.99407869,Jannik SinnerNovak DjokovicF7446
587,543,2023-0605300FW,2023-0605300F,2023-0605,Tour Finals,Hard,,,2023-11-13,300.0,W,104925.0,1.0,,Novak Djokovic,R,188.0,SRB,36.4,206173.0,4.0,,Jannik Sinner,R,188.0,ITA,22.2,6-3 6-3,3.0,F,1,103.0,13.0,0.0,46.0,32.0,29.0,9.0,38.0,34.0,9.0,2.0,2.0,0.695652174,,0.90625,0.642857143,0.428571429,0.52,8.0,1.0,74.0,49.0,28.0,12.0,40.0,8.0,9.0,5.0,8.0,0.571428571,0.48,0.09375,0.357142857,1.0,9945.0,4.0,5490.0,-3.0,106.0,0.617369223,0.774591282,0.559363902,0.308837179,0.528517059,,,,,31.99407869,3017.340677,,32.06133874,Novak DjokovicJannik SinnerF4674
588,544,2023-0637300FL,2023-0637300F,2023-0637,Champaign CH,Hard,,,2023-11-13,300.0,L,210506.0,2.0,,Alex Michelsen,U,,USA,19.2,200516.0,7.0,,Patrick Kypson,R,188.0,USA,24.0,6-4 6-3,3.0,F,1,77.0,2.0,3.0,61.0,41.0,26.0,8.0,34.0,21.0,10.0,2.0,6.0,0.672131148,,0.634146341,0.4,0.279069767,0.5625,4.0,1.0,59.0,43.0,31.0,7.0,38.0,27.0,9.0,4.0,5.0,0.720930233,0.4375,0.365853659,0.6,99.0,619.0,239.0,252.0,-140.0,56.0,0.618161123,0.787886546,0.48260271,0.282884607,0.532546138,,,,,385.819347,234.26266,,331.4135996,Alex MichelsenPatrick KypsonF6159
589,545,2023-0637300FW,2023-0637300F,2023-0637,Champaign CH,Hard,,,2023-11-13,300.0,W,200516.0,7.0,,Patrick Kypson,R,188.0,USA,24.0,210506.0,2.0,,Alex Michelsen,U,,USA,19.2,6-4 6-3,3.0,F,1,77.0,4.0,1.0,59.0,43.0,31.0,7.0,38.0,27.0,9.0,4.0,5.0,0.728813559,,0.720930233,0.4375,0.365853659,0.6,2.0,3.0,61.0,41.0,26.0,8.0,34.0,21.0,10.0,2.0,6.0,0.634146341,0.4,0.279069767,0.5625,239.0,252.0,99.0,619.0,140.0,77.0,0.677253408,0.7414776,0.539676047,0.300136139,0.53782611,,,,,331.4135996,258.7540317,,385.819347,Patrick KypsonAlex MichelsenF5961
590,546,2023-2899300FL,2023-2899300F,2023-2899,Danderyd CH,Hard,,,2023-11-13,300.0,L,206909.0,8.0,,Brandon Nakashima,R,185.0,USA,22.2,109739.0,2.0,,Maximilian Marterer,L,191.0,GER,28.4,2-6 6-4 6-3,3.0,F,1,128.0,8.0,2.0,80.0,47.0,36.0,17.0,53.0,34.0,13.0,9.0,11.0,0.5875,,0.765957447,0.515151515,0.229166667,0.522727273,9.0,2.0,92.0,48.0,37.0,21.0,58.0,27.0,14.0,5.0,7.0,0.770833333,0.477272727,0.234042553,0.484848485,143.0,434.0,100.0,616.0,43.0,111.0,0.610160821,0.759543217,0.56488443,0.251078303,0.555477471,,,,,207.3828289,401.7975257,,122.0299913,Brandon NakashimaMaximilian MartererF8092
591,547,2023-2899300FW,2023-2899300F,2023-2899,Danderyd CH,Hard,,,2023-11-13,300.0,W,109739.0,2.0,,Maximilian Marterer,L,191.0,GER,28.4,206909.0,8.0,,Brandon Nakashima,R,185.0,USA,22.2,2-6 6-4 6-3,3.0,F,1,128.0,9.0,2.0,92.0,48.0,37.0,21.0,58.0,27.0,14.0,5.0,7.0,0.52173913,,0.770833333,0.477272727,0.234042553,0.484848485,8.0,2.0,80.0,47.0,36.0,17.0,53.0,34.0,13.0,9.0,11.0,0.765957447,0.515151515,0.229166667,0.522727273,100.0,616.0,143.0,434.0,-43.0,66.0,0.627571313,0.755899896,0.537782666,0.317331353,0.515889226,,,,,122.0299913,796.3037446,,207.3828289,Maximilian MartererBrandon NakashimaF9280
592,548,2023-7235300FL,2023-7235300F,2023-7235,Drummondville CH,Hard,,,2023-11-13,300.0,L,105902.0,2.0,,James Duckworth,R,183.0,AUS,31.8,200267.0,6.0,,Zizou Bergs,R,185.0,BEL,24.4,6-4 7-5,3.0,F,1,80.0,5.0,3.0,72.0,49.0,30.0,10.0,40.0,19.0,11.0,6.0,10.0,0.680555556,,0.612244898,0.434782609,0.19047619,0.55,10.0,1.0,62.0,42.0,34.0,9.0,43.0,32.0,11.0,3.0,5.0,0.80952381,0.45,0.387755102,0.565217391,113.0,553.0,174.0,358.0,-61.0,62.0,0.637252035,0.753491317,0.563028484,0.318405584,0.509461119,,,,,393.8162665,371.9321385,,307.6924186,James DuckworthZizou BergsF7262
593,549,2023-7235300FW,2023-7235300F,2023-7235,Drummondville CH,Hard,,,2023-11-13,300.0,W,200267.0,6.0,,Zizou Bergs,R,185.0,BEL,24.4,105902.0,2.0,,James Duckworth,R,183.0,AUS,31.8,6-4 7-5,3.0,F,1,80.0,10.0,1.0,62.0,42.0,34.0,9.0,43.0,32.0,11.0,3.0,5.0,0.677419355,,0.80952381,0.45,0.387755102,0.565217391,5.0,3.0,72.0,49.0,30.0,10.0,40.0,19.0,11.0,6.0,10.0,0.612244898,0.434782609,0.19047619,0.55,174.0,358.0,113.0,553.0,61.0,131.0,0.600242713,0.762908138,0.573696855,0.291945587,0.529477121,,,,,307.6924186,280.2430095,,393.8162665,Zizou BergsJames DuckworthF6272
